capturing 60s on Command|8:Command|8 MIDI 1 24:0 ...
note_on n=5 v=64                 -> FaderTouchEvent(fader=0, touched=True)
cc c=57 v=114                    -> FaderMoveEvent(fader=1, value=114, value10=919)
cc c=49 v=115                    -> FaderMoveEvent(fader=1, value=115, value10=926)
cc c=33 v=116                    -> FaderMoveEvent(fader=1, value=116, value10=932)
cc c=17 v=117                    -> FaderMoveEvent(fader=1, value=117, value10=938)
cc c=57 v=117                    -> FaderMoveEvent(fader=1, value=117, value10=943)
cc c=41 v=118                    -> FaderMoveEvent(fader=1, value=118, value10=949)
cc c=25 v=119                    -> FaderMoveEvent(fader=1, value=119, value10=955)
cc c=1 v=120                     -> FaderMoveEvent(fader=1, value=120, value10=960)
cc c=41 v=120                    -> FaderMoveEvent(fader=1, value=120, value10=965)
cc c=17 v=121                    -> FaderMoveEvent(fader=1, value=121, value10=970)
cc c=1 v=122                     -> FaderMoveEvent(fader=1, value=122, value10=976)
cc c=33 v=122                    -> FaderMoveEvent(fader=1, value=122, value10=980)
cc c=9 v=123                     -> FaderMoveEvent(fader=1, value=123, value10=985)
cc c=41 v=123                    -> FaderMoveEvent(fader=1, value=123, value10=989)
cc c=9 v=124                     -> FaderMoveEvent(fader=1, value=124, value10=993)
cc c=41 v=124                    -> FaderMoveEvent(fader=1, value=124, value10=997)
